Date,Open,High,Low,Close,Adj Close,Volume
1998-03-11,2.593750,2.625000,2.570313,2.609375,2.180973,19238400
1998-03-12,2.617188,2.621094,2.531250,2.562500,2.141794,8198400
1998-03-13,2.562500,2.570313,2.515625,2.531250,2.115675,6182400
1998-03-16,2.531250,2.539063,2.507813,2.527344,2.112410,3256000
1998-03-17,2.519531,2.589844,2.500000,2.562500,2.141794,8643200
1998-03-18,2.570313,2.585938,2.554688,2.562500,2.141794,4316800
1998-03-19,2.562500,2.570313,2.539063,2.554688,2.135264,6728000
1998-03-20,2.566406,2.617188,2.546875,2.601563,2.174444,12780800
1998-03-23,2.605469,2.605469,2.542969,2.550781,2.132000,3448000
1998-03-24,2.558594,2.632813,2.531250,2.621094,2.190768,12320000
1998-03-25,2.632813,2.695313,2.609375,2.656250,2.220153,19796800
1998-03-26,2.640625,2.695313,2.585938,2.691406,2.249537,16790400
1998-03-27,2.699219,2.699219,2.648438,2.671875,2.233212,9328000
1998-03-30,2.722656,2.824219,2.718750,2.804688,2.344220,33296000
1998-03-31,2.804688,2.902344,2.792969,2.832031,2.367074,24040000
1998-04-01,2.835938,2.898438,2.796875,2.878906,2.406253,29579200
1998-04-02,2.867188,2.984375,2.867188,2.886719,2.412783,28865600
1998-04-03,2.875000,2.925781,2.828125,2.898438,2.422578,15577600
1998-04-06,2.906250,2.953125,2.761719,2.777344,2.321365,17155200
1998-04-07,2.765625,2.781250,2.703125,2.726563,2.278920,13648000
1998-04-08,2.742188,2.742188,2.695313,2.707031,2.262596,7038400
1998-04-09,2.710938,2.718750,2.656250,2.695313,2.252801,9272000
1998-04-13,2.703125,2.742188,2.695313,2.718750,2.272391,9521600
1998-04-14,2.714844,2.796875,2.714844,2.781250,2.324631,11801600
1998-04-15,2.789063,2.859375,2.781250,2.835938,2.370339,11121600
1998-04-16,2.812500,2.835938,2.773438,2.824219,2.360544,4675200
1998-04-17,2.800781,2.847656,2.796875,2.847656,2.380134,9004800
1998-04-20,2.816406,2.875000,2.816406,2.843750,2.376869,5305600
1998-04-21,2.843750,2.843750,2.757813,2.828125,2.363809,9971200
1998-04-22,2.828125,2.929688,2.820313,2.906250,2.429108,10694400
1998-04-23,2.898438,2.953125,2.820313,2.917969,2.438903,18528000
1998-04-24,2.914063,3.054688,2.902344,3.007813,2.513996,28326400
1998-04-27,2.980469,2.980469,2.824219,2.839844,2.373605,15448000
1998-04-28,2.859375,2.898438,2.812500,2.816406,2.354015,11993600
